title,source,lang,url,date,resume,category,credibility
قائمة صانعي الأهداف,Yalla Kora,ar,,2026-03-30,,,0
المباريات القادمة,Yalla Kora,ar,,2026-03-30,,,0
هدية لفرنسا.. منتخب مصر قد يزيح إسبانيا من صدارة التصنيف العالمي,Yalla Kora,ar,https://www.yallakora.com/friendly-matches-nations/2438/news/545778/%d9%87%d8%af%d9%8a%d8%a9-%d9%84%d9%81%d8%b1%d9%86%d8%b3%d8%a7-%d9%85%d9%86%d8%aa%d8%ae%d8%a8-%d9%85%d8%b5%d8%b1-%d9%82%d8%af-%d9%8a%d8%b2%d9%8a%d8%ad-%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a7-%d9%85%d9%86-%d8%b5%d8%af%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%aa%d8%b5%d9%86%d9%8a%d9%81-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85%d9%8a#HP_Reports,2026-03-30,,,0
هدف وحيد وإحصائية صادمة.. ماذا يفعل منتخب مصر على الملاعب الإسبانية؟,Yalla Kora,ar,https://www.yallakora.com/friendly-matches-nations/2438/news/545748/%d9%87%d8%af%d9%81-%d9%88%d8%ad%d9%8a%d8%af-%d9%88%d8%a5%d8%ad%d8%b5%d8%a7%d8%a6%d9%8a%d8%a9-%d8%b5%d8%a7%d8%af%d9%85%d8%a9-%d9%85%d8%a7%d8%b0%d8%a7-%d9%8a%d9%81%d8%b9%d9%84-%d9%85%d9%86%d8%aa%d8%ae%d8%a8-%d9%85%d8%b5%d8%b1-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%84%d8%a7%d8%b9%d8%a8-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a9-#HP_Reports,2026-03-30,,,0
خلال 9  مواسم.. كيف أحكم محمد صلاح قبضته على البريميرليج؟ (أرقام),Yalla Kora,ar,https://www.yallakora.com/epl/2968/news/545598/%d8%ae%d9%84%d8%a7%d9%84-9-%d9%85%d9%88%d8%a7%d8%b3%d9%85-%d9%83%d9%8a%d9%81-%d8%a3%d8%ad%d9%83%d9%85-%d9%85%d8%ad%d9%85%d8%af-%d8%b5%d9%84%d8%a7%d8%ad-%d9%82%d8%a8%d8%b6%d8%aa%d9%87-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%a8%d8%b1%d9%8a%d9%85%d9%8a%d8%b1%d9%84%d9%8a%d8%ac-%d8%a3%d8%b1%d9%82%d8%a7%d9%85-#HP_Reports,2026-03-30,,,0
مثلث رأسه صلاح.. هل يغير هيثم حسن شكل هجوم مصر في كأس العالم؟,Yalla Kora,ar,https://www.yallakora.com/world-cup/2866/news/545602/%d9%85%d8%ab%d9%84%d8%ab-%d8%b1%d8%a3%d8%b3%d9%87-%d8%b5%d9%84%d8%a7%d8%ad-%d9%87%d9%84-%d9%8a%d8%ba%d9%8a%d8%b1-%d9%87%d9%8a%d8%ab%d9%85-%d8%ad%d8%b3%d9%86-%d8%b4%d9%83%d9%84-%d9%87%d8%ac%d9%88%d9%85-%d9%85%d8%b5%d8%b1-%d9%81%d9%8a-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-#HP_Reports,2026-03-30,,,0
بين التقدم والتراجع.. كيف تؤثر ودية إسبانيا على تصنيف منتخب مصر؟,Yalla Kora,ar,https://www.yallakora.com/friendly-matches-nations/2438/news/545589/%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%82%d8%af%d9%85-%d9%88%d8%a7%d9%84%d8%aa%d8%b1%d8%a7%d8%ac%d8%b9-%d9%83%d9%8a%d9%81-%d8%aa%d8%a4%d8%ab%d8%b1-%d9%88%d8%af%d9%8a%d8%a9-%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a7-%d8%b9%d9%84%d9%89-%d8%aa%d8%b5%d9%86%d9%8a%d9%81-%d9%85%d9%86%d8%aa%d8%ae%d8%a8-%d9%85%d8%b5%d8%b1-#HP_Reports,2026-03-30,,,0
Soutien à Christophe GleizesDétenu en Algérie pour y avoir exercé son métier,L'Équipe,fr,https://www.lequipe.fr/Medias/Actualites/L-edito-de-l-equipe-christophe-gleizes-a-plus-que-jamais-besoin-de-soutien-et-d-un-geste-d-humanite/1617521,2026-03-30,,,0
Coupe du mondeLe programme TV des barrages sur L'Équipe,L'Équipe,fr,https://www.lequipe.fr/Medias/Actualites/Le-programme-tv-des-barrages-europeens-et-des-matches-amicaux/1661189,2026-03-30,,,0
Quiz sportTestez vos connaissances sportives,L'Équipe,fr,https://www.lequipe.fr/jeux/dix-sur-dix,2026-03-30,,,0
