title,source,lang,url,date,resume,category,credibility,image_url,image_caption,resume
تقارير ومقالات,Kooora,ar,,2026-03-21,,Autre,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Seyyed-mostafa_khomeini.jpg/800px-Seyyed-mostafa_khomeini.jpg,موظف ديني إيراني,
استطلاع يلاكورة,Yalla Kora,ar,,2026-03-21,,Autre,4,,,
من يتأهل لنصف نهائي دوري أبطال أفريقيا؟,Yalla Kora,ar,,2026-03-21,,Autre,4,https://upload.wikimedia.org/wikipedia/ar/thumb/e/eb/Logo_Etoile_du_Sahel.svg/langar-330px-Logo_Etoile_du_Sahel.svg.png,نادي رياضي تونسي تأسس سنة 1925 بمدينة سوسة,
ريلز يلاكورة,Yalla Kora,ar,https://www.yallakora.com/reels-listing/%d8%b1%d9%8a%d9%84%d8%b2-%d9%8a%d9%84%d8%a7%d9%83%d9%88%d8%b1%d8%a9,2026-03-21,,Autre,4,,,"من الليجا لمنتخب مصر.. هيثم حسن مفاجأة ""الفراعنة"" لكأس العالم"
إحصائيات دوري أبطال أفريقيا,Yalla Kora,ar,https://www.yallakora.com/tour/87/%d8%af%d9%88%d8%b1%d9%8a-%d8%a3%d8%a8%d8%b7%d8%a7%d9%84-%d8%a3%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a7#HPStatsClipScorers,2026-03-21,,Autre,4,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Raja_CA_logo.png/800px-Raja_CA_logo.png,"Sports club in Casablanca, Morocco",تغييران في الوسط والهجوم.. كيف يفكر توروب قبل مواجهة الأهلي أمام الترجي؟
قائمة صانعي الأهداف,Yalla Kora,ar,,2026-03-21,,Football,4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Inside_the_Millennium_Stadium%2C_Cardiff.jpg/800px-Inside_the_Millennium_Stadium%2C_Cardiff.jpg,النسخة الثانية والستون من دوري أبطال أوروبا,
المباريات القادمة,Yalla Kora,ar,,2026-03-21,,Autre,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Pusk%C3%A1s_Ar%C3%A9na_05.jpg/800px-Pusk%C3%A1s_Ar%C3%A9na_05.jpg,,
أزمات لا تنتهي.. أسباب إيقاف قيد الزمالك في 13 قضية,Yalla Kora,ar,https://www.yallakora.com/egyptian-league/2977/news/544964/-%d8%a3%d8%b2%d9%85%d8%a7%d8%aa-%d9%84%d8%a7-%d8%aa%d9%86%d8%aa%d9%87%d9%8a-%d8%a3%d8%b3%d8%a8%d8%a7%d8%a8-%d8%a5%d9%8a%d9%82%d8%a7%d9%81-%d9%82%d9%8a%d8%af-%d8%a7%d9%84%d8%b2%d9%85%d8%a7%d9%84%d9%83-%d9%81%d9%8a-13-%d9%82%d8%b6%d9%8a%d8%a9#HP_Reports,2026-03-21,,Autre,4,https://upload.wikimedia.org/wikipedia/ar/thumb/e/ec/Zamalek_Logo.svg/langar-330px-Zamalek_Logo.svg.png,نادي رياضي مصري,"تعرض الفريق الأول لكرة القدم بنادي الزمالك إلى عقوبة إيقاف قيد جديد من جانب الاتحاد الدولي ""فيفا""، ليصبح رصيد القضايا (13)."
في ميزان 3 أندية.. التعادل يطغى على مسيرة توروب مع الأهلي (أرقام),Yalla Kora,ar,https://www.yallakora.com/african-champions-league/2965/news/544869/%d9%81%d9%8a-%d9%85%d9%8a%d8%b2%d8%a7%d9%86-3-%d8%a3%d9%86%d8%af%d9%8a%d8%a9-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d8%af%d9%84-%d9%8a%d8%b7%d8%ba%d9%89-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d9%8a%d8%b1%d8%a9-%d8%aa%d9%88%d8%b1%d9%88%d8%a8-%d9%85%d8%b9-%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a-%d8%a3%d8%b1%d9%82%d8%a7%d9%85-#HP_Reports,2026-03-21,,Autre,4,,,تتواصل رحلة الدنماركي ييس توروب، المدير الفني لفريق الأهلي، الذي يستعد لخوض مباراة قد تكون مصيرية في مشواره أمام الترجي التونسي، ضمن منافسات بطولة دوري أبطال أفريقيا.
بنشرقي وزيزو وبن رمضان.. نجوم يبحثون عن الهدف الأفريقي الأول مع الأهلي,Yalla Kora,ar,https://www.yallakora.com/african-champions-league/2965/news/544851/-%d8%a8%d9%86%d8%b4%d8%b1%d9%82%d9%8a-%d9%88%d8%b2%d9%8a%d8%b2%d9%88-%d9%88%d8%a8%d9%86-%d8%b1%d9%85%d8%b6%d8%a7%d9%86-%d9%86%d8%ac%d9%88%d9%85-%d9%8a%d8%a8%d8%ad%d8%ab%d9%88%d9%86-%d8%b9%d9%86-%d8%a7%d9%84%d9%87%d8%af%d9%81-%d8%a7%d9%84%d8%a3%d9%81%d8%b1%d9%8a%d9%82%d9%8a-%d8%a7%d9%84%d8%a3%d9%88%d9%84-%d9%85%d8%b9-%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a#HP_Reports,2026-03-21,,Football,4,,,"يخوض الفريق الأول لكرة القدم بالنادي الأهلي مباراته الأهم في الموسم الحالي ""2025-2026"" عندما يلتقي مع الترجي التونسي بدوري أبطال أفريقيا."
صدام صلاح ونهائي أرسنال.. ماذا ينتظر مرموش مع مان سيتي بعد وداع الأبطال؟,Yalla Kora,ar,https://www.yallakora.com/epl/2968/news/544867/-%d8%b5%d8%af%d8%a7%d9%85-%d8%b5%d9%84%d8%a7%d8%ad-%d9%88%d9%86%d9%87%d8%a7%d8%a6%d9%8a-%d8%a3%d8%b1%d8%b3%d9%86%d8%a7%d9%84-%d9%85%d8%a7%d8%b0%d8%a7-%d9%8a%d9%86%d8%aa%d8%b8%d8%b1-%d9%85%d8%b1%d9%85%d9%88%d8%b4-%d9%85%d8%b9-%d9%85%d8%a7%d9%86-%d8%b3%d9%8a%d8%aa%d9%8a-%d8%a8%d8%b9%d8%af-%d9%88%d8%af%d8%a7%d8%b9-%d8%a7%d9%84%d8%a3%d8%a8%d8%b7%d8%a7%d9%84-#HP_Reports,2026-03-21,,Autre,4,,,ينتظر النجم المصري عمر مرموش مواجهات مثيرة وصعبة مع مانشستر سيتي بعد وداع بطولة دوري أبطال أوروبا.
"""لن تسير وحدك أبدًا"".. الأرقام القياسية لا تترك محمد صلاح",Yalla Kora,ar,https://www.yallakora.com/epl/2968/news/544838/-%d9%84%d9%86-%d8%aa%d8%b3%d9%8a%d8%b1-%d9%88%d8%ad%d8%af%d9%83-%d8%a3%d8%a8%d8%af-%d8%a7-%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d9%84%d8%a7-%d8%aa%d8%aa%d8%b1%d9%83-%d9%85%d8%ad%d9%85%d8%af-%d8%b5%d9%84%d8%a7%d8%ad#HP_Reports,2026-03-21,,Autre,4,,,لا يهدأ النجم المصري محمد صلاح جناح نادي ليفربول عن تسجيل وتحطيم الأرقام القياسية حتى في أقل مواسمه التهديفية.
